gene name	annotation
PIK3C2A	gene
PLAUR	gene
ANLN	gene
WIZ	gene
RABGAP1	gene
DCN	gene
QPCTL	gene
PPP5C	gene
CEP68	gene
MAP4K3	gene
ZBTB32	gene
TYROBP	gene
TMEM159	gene
GABRA3	gene
BRCA1	gene
ERCC1	gene
CD22	gene
SEMA3B	gene
MBTPS2	gene
PRICKLE3	gene
LTF	gene
EXTL3	gene
NR1H4	gene
ELOVL5	gene
ALOX5	gene
KDM5D	gene
CALCOCO1	gene
UBR7	gene
MAP4K5	gene
EHD3	gene
PSMC4	gene
MAN2B2	gene
SLC7A14	gene
CLDN11	gene
SLC25A39	gene
MVP	gene
NUB1	gene
PGM3	gene
RWDD2A	gene
CLK1	gene
POLR3B	gene
ANGEL1	gene
RNF14	gene
DNASE1L1	gene
DDX11	gene
HEBP1	gene
GPRC5A	gene
MAMLD1	gene
CD6	gene
TACC3	gene
UFL1	gene
POLA2	gene
ZC3H3	gene
CAPN1	gene
ACPP	gene
MDH1	gene
SLC30A9	gene
MTMR11	gene
COX15	gene
CCDC88C	gene
YAF2	gene
ZMYND11	gene
WAS	gene
DPEP1	gene
BID	gene
MATR3	gene
NPC1L1	gene
XYLT2	gene
RGPD5	gene
STMN4	gene
NUDCD3	gene
ISL1	gene
CHDH	gene
IL20RA	gene
CLCA1	gene
CLCA4	gene
GLT8D1	gene
ATP2C1	gene
IGF1	gene
SLC38A5	gene
RALBP1	gene
RUFY3	gene
CNTN1	gene
SLC11A1	gene
WWTR1	gene
AGPS	gene
ZNF806	gene
CXorf56	gene
ATP1A2	gene
TTC27	gene
ZNF582	gene
VSIG2	gene
PHLDB1	gene
MARCO	gene
CYP24A1	gene
PRDM11	gene
SYT13	gene
SNAI2	gene
CD74	gene
HGF	gene
ZRANB1	gene
NCDN	gene
ADGRA2	gene
CCT8L1P	gene
ZFP64	gene
MNAT1	gene
SAMD4A	gene
RUNX3	gene
MRE11	gene
PLEKHB1	gene
SERPINB1	gene
CYP3A43	gene
SLC7A9	gene
SPAST	gene
NRXN3	gene
OSBPL5	gene
AQR	gene
CPS1	gene
C8B	gene
FHL1	gene
RTFDC1	gene
GABRA1	gene
NLRP2	gene
SLC45A4	gene
RNF10	gene
ZNF839	gene
ZDHHC6	gene
GRAMD1B	gene
RNH1	gene
NDUFS1	gene
RB1CC1	gene
ERP44	gene
ALAS1	gene
BIRC3	gene
AKAP11	gene
GLRX2	gene
SNAPC1	gene
DERA	gene
STRAP	gene
ABCC2	gene
DEF6	gene
PLEKHO1	gene
GCLM	gene
UBR2	gene
EHD2	gene
DEPDC1	gene
CCDC28A	gene
RRAGD	gene
HSF2	gene
PHF20	gene
HSD17B6	gene
NR1H3	gene
TYMP	gene
NCAPH2	gene
TOMM34	gene
SEC63	gene
KPNA6	gene
VIM	gene
RTEL1-TNFRSF6B	gene
FAS	gene
RNASET2	gene
CD44	gene
KCNG1	gene
AGPAT4	gene
SLAMF7	gene
BTN3A1	gene
MIPEP	gene
PRKCH	gene
INSRR	gene
IFNGR1	gene
B4GALT7	gene
SH2D2A	gene
VRK2	gene
TNFRSF1B	gene
VEZT	gene
POU2F2	gene
BRD9	gene
SNX1	gene
TBPL1	gene
ARNTL2	gene
BCLAF1	gene
SLC39A9	gene
ANK1	gene
IBSP	gene
TFB1M	gene
RABEP1	gene
HMGB3	gene
NUP160	gene
BAK1	gene
MUSK	gene
IKZF2	gene
GRN	gene
FAM13B	gene
ARHGAP31	gene
CENPQ	gene
SARS	gene
RANBP3	gene
ARID4A	gene
TSSC1	gene
PNPLA6	gene
IFT88	gene
ALG1	gene
ZCCHC8	gene
ABCF2	gene
CHPF2	gene
LRRC7	gene
FUT8	gene
UBA6	gene
GAB2	gene
ATP6V0A1	gene
PIAS1	gene
SLC4A7	gene
APBA2	gene
MAP2K3	gene
EFCAB1	gene
TMSB10	gene
ASTE1	gene
RNF19A	gene
PEX3	gene
GABARAPL2	gene
MYOC	gene
SH3YL1	gene
FAM136A	gene
VCL	gene
DEPDC1B	gene
DAPK2	gene
NSMAF	gene
ADSS	gene
STAP1	gene
TIMP2	gene
RFC1	gene
TBC1D23	gene
CUL3	gene
MYOM2	gene
OTC	gene
CYP46A1	gene
ZZZ3	gene
SLC18A1	gene
USP2	gene
CASR	gene
TUBG2	gene
RPL26L1	gene
FLT4	gene
NSUN2	gene
FBXO42	gene
MFAP3	gene
MRI1	gene
METTL1	gene
HOXC8	gene
AGA	gene
PI4K2B	gene
BOD1L1	gene
MAT2B	gene
TLL1	gene
EDC4	gene
TRIO	gene
VCAN	gene
CLEC16A	gene
MSR1	gene
CDH1	gene
SKIV2L2	gene
DNAH5	gene
ZFYVE16	gene
FAM65A	gene
C6	gene
RAI14	gene
SOX30	gene
PNKP	gene
BEST2	gene
PHLPP2	gene
SPDL1	gene
STAU2	gene
PQLC2	gene
CTNS	gene
RTN4R	gene
PHF23	gene
CDH10	gene
INPP4A	gene
RAB27B	gene
PSMA4	gene
MYO16	gene
LSG1	gene
PARP3	gene
TNC	gene
THAP3	gene
FAM65C	gene
TDP1	gene
AIFM2	gene
C2orf83	gene
SPATA7	gene
MED17	gene
RETSAT	gene
CAPG	gene
AP2S1	gene
USH2A	gene
ZPBP	gene
TG	gene
ADAM28	gene
BARX2	gene
DCUN1D1	gene
JADE2	gene
ZIC2	gene
LCP2	gene
TRIT1	gene
ADRB1	gene
GUCA2B	gene
CUL7	gene
CTNNA1	gene
PHKA2	gene
CNTLN	gene
EPHA3	gene
HSPA5	gene
DSG2	gene
GEMIN8	gene
OFD1	gene
GPM6B	gene
MAGEC2	gene
PREX2	gene
WDR37	gene
YTHDC2	gene
CTPS2	gene
ATP6V1H	gene
POLR2B	gene
FAM214A	gene
ARAP2	gene
TPR	gene
CP	gene
KIAA0556	gene
DTNBP1	gene
XK	gene
ANO2	gene
C12orf4	gene
SCML1	gene
WWC3	gene
ARHGAP6	gene
FAM184B	gene
MAP4	gene
GOPC	gene
ROS1	gene
USP28	gene
HDAC9	gene
TSPAN17	gene
NOP16	gene
CC2D2A	gene
RRM2B	gene
ZNF800	gene
TNFRSF17	gene
SNX29	gene
LMO3	gene
MRPS10	gene
GUCA1A	gene
RSF1	gene
VPS13D	gene
CELF2	gene
FAM120A	gene
R3HDM1	gene
COL9A2	gene
KITLG	gene
ERCC8	gene
ADAMTS6	gene
H6PD	gene
VAMP3	gene
PER3	gene
UTS2	gene
TNFRSF9	gene
EPN3	gene
LTBP1	gene
RCN1	gene
ELN	gene
RFC2	gene
ARID1B	gene
CLPTM1L	gene
NEDD4L	gene
FOXP3	gene
PPP1R3F	gene
HEXB	gene
PTCD2	gene
KIAA2022	gene
JKAMP	gene
DKK3	gene
ARHGEF5	gene
NFE2L3	gene
MCUR1	gene
LIMA1	gene
LETMD1	gene
SLC4A8	gene
LAMC3	gene
PTGER3	gene
TNIP3	gene
MAPK9	gene
COL23A1	gene
BCAR1	gene
FAM160A2	gene
HERPUD1	gene
HOMER3	gene
RAD51	gene
POLQ	gene
PIK3CB	gene
CYBA	gene
THOC3	gene
HEBP2	gene
MPHOSPH9	gene
PLEKHA5	gene
PRSS8	gene
SIKE1	gene
RRP12	gene
FNIP2	gene
MSMO1	gene
TTC17	gene
ALX4	gene
FSTL4	gene
FOXN3	gene
METTL24	gene
AKR7A2	gene
MRTO4	gene
NNAT	gene
USE1	gene
MCF2L2	gene
NRIP2	gene
LAMA3	gene
AP5M1	gene
ANAPC4	gene
KCNQ1	gene
TRAPPC3	gene
THRAP3	gene
PHPT1	gene
ENTPD2	gene
LY75	gene
ARID4B	gene
OPN3	gene
SDCCAG8	gene
PTPRN	gene
HHAT	gene
KIF1B	gene
FOXC1	gene
TBC1D22A	gene
SYNE2	gene
PLEKHH1	gene
ATP9A	gene
SPO11	gene
CBLN4	gene
CHRDL2	gene
FAM168A	gene
RELT	gene
GALC	gene
NOP58	gene
SZRD1	gene
KCNH2	gene
CUL1	gene
FAM114A2	gene
CYFIP2	gene
TAB2	gene
GINM1	gene
EIF2AK2	gene
USP36	gene
KMT2C	gene
MCOLN3	gene
CCDC85A	gene
PUM2	gene
MRPL43	gene
ITIH4	gene
ITIH1	gene
HPF1	gene
ZFR	gene
ZNF280C	gene
NPFFR2	gene
PHF21B	gene
TRAF1	gene
RC3H2	gene
IL17RB	gene
TRAF3IP2	gene
GYG2	gene
DCBLD2	gene
SERPINB3	gene
SOAT1	gene
PKP2	gene
MSH4	gene
F7	gene
GDI2	gene
PRDM1	gene
ATG5	gene
TMCC3	gene
PITHD1	gene
MTA3	gene
USP13	gene
ATP11B	gene
LAMC2	gene
CDK14	gene
SEC61A1	gene
PPP1R12A	gene
RASGRF1	gene
CAMK2B	gene
CROCC	gene
POLR3E	gene
ATP2B4	gene
ZC3H11A	gene
RIOK2	gene
YIPF1	gene
NDC1	gene
DGKG	gene
FLYWCH1	gene
UNKL	gene
TBXAS1	gene
PARP12	gene
ALDH18A1	gene
TARBP1	gene
GATB	gene
MXD1	gene
CDK17	gene
DNAJC25	gene
SLC2A3	gene
PSD	gene
CTDP1	gene
YBX3	gene
STYK1	gene
WNK1	gene
RPS17P5	gene
CCAR1	gene
OGFR	gene
GNA15	gene
CREB3L3	gene
PIGV	gene
PTPRU	gene
SNRNP40	gene
RIMBP2	gene
COL11A1	gene
QSER1	gene
MPC1	gene
ACAA1	gene
BCAT1	gene
HDAC7	gene
LZTS1	gene
PRDM6	gene
WNT8A	gene
SPAG4	gene
NCKAP1	gene
MRPS35	gene
GUCY1B3	gene
SFSWAP	gene
TNK2	gene
MON2	gene
CDH3	gene
ARSF	gene
GPBP1	gene
DGAT2	gene
ZNF112	gene
CS	gene
LTK	gene
MRPS24	gene
ELMO2	gene
WAPL	gene
VMP1	gene
APPBP2	gene
POLD1	gene
SEZ6	gene
EIF4B	gene
SLC6A16	gene
GLTSCR1	gene
SPHK2	gene
RPL18	gene
CA11	gene
ISOC2	gene
U2AF2	gene
EPN1	gene
MED29	gene
AHRR	gene
GSC2	gene
ZNF275	gene
MTMR1	gene
GPC1	gene
ADCK1	gene
HAGH	gene
RNF4	gene
CASP8	gene
LIMCH1	gene
ASUN	gene
TM7SF3	gene
DLX3	gene
SPA17	gene
TSPAN32	gene
WISP2	gene
DMRT3	gene
ST3GAL6	gene
ATP2C2	gene
NGFR	gene
CDON	gene
TAF2	gene
HIPK2	gene
TNPO3	gene
BORCS8-MEF2B	gene
RFXANK	gene
TMEM161A	gene
LPAR2	gene
CTSA	gene
SUGP2	gene
SLC12A2	gene
SNX24	gene
EYA2	gene
CNN2	gene
ABCA7	gene
SNCAIP	gene
DDX20	gene
BTBD1	gene
FAR2	gene
BCAS1	gene
POU1F1	gene
CHI3L2	gene
SBNO2	gene
PMS1	gene
HMG20B	gene
CALCRL	gene
TAF11	gene
ANKS1A	gene
AP3D1	gene
ZNF76	gene
SLC9A3R2	gene
NTHL1	gene
UHRF1BP1	gene
GNAI3	gene
IPO5	gene
OAT	gene
WDR3	gene
PKN2	gene
WDR18	gene
TRAM2	gene
NTN1	gene
GLP2R	gene
MCM10	gene
DGKA	gene
ERBB3	gene
ROPN1	gene
ANKRD44	gene
KARS	gene
ADAT1	gene
PDIA5	gene
TBC1D22B	gene
NDUFB4	gene
SPEN	gene
MYLK	gene
ZC3H15	gene
MAP2K4	gene
TMEM206	gene
SNAP91	gene
SLK	gene
CYB5R4	gene
COL17A1	gene
GSTO2	gene
SEC61A2	gene
PRKCQ	gene
TLE2	gene
ASB1	gene
FAM107B	gene
ME1	gene
TBC1D1	gene
CDK13	gene
MTHFD2	gene
SLC9A7	gene
FOXJ2	gene
YBX1	gene
PDE4A	gene
PPP2R5A	gene
CTNNA2	gene
ELAVL1	gene
TIE1	gene
DIP2B	gene
SMARCD1	gene
KDM4A	gene
NFYC	gene
ZMYND12	gene
SLC9A3	gene
NGEF	gene
ASPM	gene
CD84	gene
ELOVL1	gene
SPI1	gene
ZNRD1	gene
MPPED2	gene
CLDN18	gene
ZBTB11	gene
ATXN3	gene
GOLGA5	gene
FGFR2	gene
LRRC40	gene
ISOC1	gene
EML1	gene
TRMT11	gene
THUMPD1	gene
MSANTD3	gene
KIF26A	gene
ATG2B	gene
ARFGEF1	gene
ACSM2B	gene
ZFAT	gene
MTFR1	gene
STAG3	gene
FECH	gene
MYO9A	gene
DDX3Y	gene
PFKP	gene
IDI1	gene
SP100	gene
KLF6	gene
PLPP1	gene
NEO1	gene
TRAM1	gene
PHKA1	gene
TNFRSF1A	gene
CACNB1	gene
EVI5	gene
STOML1	gene
PKM	gene
DHX29	gene
DNTTIP2	gene
METTL22	gene
TP53BP1	gene
TRO	gene
RRP15	gene
RHOA	gene
DHX8	gene
PMS2P4	gene
PRKCZ	gene
ZFY	gene
IARS2	gene
SYT1	gene
NAV3	gene
IDH3G	gene
ROGDI	gene
PDZD4	gene
ATP2B3	gene
ROCK1	gene
CBFB	gene
PDK3	gene
HYAL2	gene
HDAC4	gene
RASSF1	gene
FGFR3	gene
IFI35	gene
HEATR6	gene
COASY	gene
PLEKHH3	gene
MEF2A	gene
OTUD5	gene
TFE3	gene
TBC1D25	gene
ACSL4	gene
INPP5A	gene
GPKOW	gene
GRIPAP1	gene
FTSJ1	gene
PRR11	gene
REEP1	gene
ATP11A	gene
POLR1A	gene
LAPTM4A	gene
TTC7A	gene
IP6K2	gene
STON1-GTF2A1L	gene
SRBD1	gene
KIF2A	gene
RASGRP2	gene
PSME4	gene
IFT80	gene
SIRT2	gene
ERLEC1	gene
PPP2R5B	gene
PYGM	gene
PAGE1	gene
PITX1	gene
TRPC7	gene
MAST4	gene
ADGRF5	gene
SDK2	gene
ADAM7	gene
NUP133	gene
NUCKS1	gene
VPS35	gene
DNAJA2	gene
BCL3	gene
KCNAB2	gene
ABCC9	gene
GAL	gene
CLEC2D	gene
FUNDC1	gene
MAOB	gene
RORA	gene
DRD4	gene
TGFBR3	gene
KIAA1107	gene
PLA2G10	gene
HES2	gene
ATP1B3	gene
NEDD4	gene
PIGB	gene
MAPK6	gene
GNB5	gene
RAB27A	gene
CECR5	gene
UFD1L	gene
LRP6	gene
GUCY2C	gene
SCT	gene
PHRF1	gene
IKBKAP	gene
NUCB2	gene
PFN2	gene
PTPN3	gene
SPTB	gene
DAPP1	gene
FGF10	gene
SLC44A1	gene
TMEM260	gene
SMG6	gene
EXOC5	gene
CLTCL1	gene
FGF22	gene
FSTL3	gene
DGCR2	gene
RNF126	gene
MNT	gene
ZXDC	gene
JMJD6	gene
POLB	gene
ST6GALNAC1	gene
WIPI1	gene
FRMPD1	gene
GBA2	gene
NDST1	gene
ASNS	gene
AP3M2	gene
CNGB1	gene
ST6GALNAC2	gene
CHAT	gene
PABPC1	gene
TESK2	gene
CFAP20	gene
CSNK2A2	gene
PTPN21	gene
EIF2B3	gene
CAMK2A	gene
TCOF1	gene
CDC42	gene
OSBPL3	gene
EPHA8	gene
SLC12A3	gene
RAD18	gene
ATP2B1	gene
TRPM5	gene
NCK2	gene
MAP4K4	gene
MGAT4A	gene
RPL31	gene
WDR1	gene
SNX13	gene
MS4A12	gene
ARHGAP10	gene
RPS6KA2	gene
ING3	gene
VASH1	gene
LMCD1	gene
WBSCR22	gene
SEL1L	gene
TRIP13	gene
ATP6AP1	gene
TCF3	gene
TRIB2	gene
DAZAP1	gene
MBD3	gene
PRLH	gene
HLTF	gene
FAM50A	gene
FAM3A	gene
CPSF1	gene
MYO3B	gene
CYBRD1	gene
CDH19	gene
PDCD2	gene
SLC6A15	gene
RDH11	gene
PRKACA	gene
ADGRL1	gene
SPP2	gene
ACTN1	gene
ZFYVE26	gene
RPS6KA6	gene
EPN2	gene
PTPN18	gene
LIMS2	gene
ASIC4	gene
SPEG	gene
LNX1	gene
ALDH3A2	gene
TFRC	gene
SREBF1	gene
TRPC5	gene
AFF4	gene
UBE2D1	gene
MPP5	gene
RHOBTB1	gene
SMC1A	gene
HSD17B10	gene
MARK2	gene
HMMR	gene
CHFR	gene
TRHDE	gene
P4HA2	gene
FCGR2B	gene
NFATC3	gene
TRNT1	gene
ACADVL	gene
STK10	gene
FBXW11	gene
ACAP1	gene
CRMP1	gene
EVC	gene
DERL2	gene
SIDT1	gene
NDE1	gene
MRVI1	gene
TMEM38A	gene
AP1M1	gene
PVR	gene
XRCC1	gene
SCARB1	gene
CYP2W1	gene
MCM2	gene
MOV10L1	gene
PANX2	gene
SELENOO	gene
TP63	gene
ALPK1	gene
LLGL2	gene
PDE8A	gene
CLCN4	gene
NLE1	gene
SDHA	gene
SMARCE1	gene
FNDC8	gene
GSDMB	gene
KDM5A	gene
ADAM11	gene
PPP2R3A	gene
FERMT2	gene
ABCB11	gene
DHRS9	gene
CD5L	gene
PTGS2	gene
IGF2BP2	gene
MAP3K13	gene
ST6GAL1	gene
TBX21	gene
VDAC1P1	gene
FRY	gene
PICALM	gene
NSF	gene
GLI2	gene
CLASP1	gene
MRPS34	gene
NOTCH3	gene
CLNS1A	gene
PPP2R2C	gene
TEAD2	gene
EED	gene
CDHR2	gene
SNCB	gene
TSG101	gene
NCBP3	gene
ATP2A3	gene
CA12	gene
MGLL	gene
NTN4	gene
BCS1L	gene
NUAK1	gene
DPP8	gene
SLC24A1	gene
ZNF532	gene
SCARF1	gene
LMAN1	gene
HACD3	gene
IPCEF1	gene
ZZEF1	gene
NOX3	gene
ENO1	gene
SLC12A1	gene
MYDGF	gene
ANO8	gene
TUBE1	gene
ARHGEF10L	gene
TXK	gene
WSCD2	gene
KCNQ2	gene
TACR2	gene
ACTR6	gene
TIPIN	gene
SRI	gene
EIF4G3	gene
NUP37	gene
SEMA3A	gene
GTSE1	gene
SEMA3C	gene
TTC38	gene
ACAT1	gene
GRAMD4	gene
CELSR1	gene
WNT8B	gene
ZNF638	gene
SLC25A40	gene
TIMM21	gene
ADD2	gene
FGF4	gene
RASAL2	gene
VPS9D1	gene
ZNF37A	gene
MARK3	gene
SLC25A3	gene
FNDC3B	gene
FOSL2	gene
CACNG5	gene
CACNG4	gene
FRYL	gene
TMEM131	gene
FSCN1	gene
ACTB	gene
MOCOS	gene
PLD1	gene
ATP12A	gene
WDR62	gene
DLG1	gene
RAB7A	gene
BCAP29	gene
SEC31B	gene
SART3	gene
ARHGAP15	gene
TUBA3D	gene
PAX2	gene
EXOSC7	gene
KIFAP3	gene
MKRN2	gene
MCM6	gene
REXO2	gene
RBM7	gene
RBMS2	gene
BAZ2A	gene
PTPN23	gene
MLH1	gene
UNG	gene
FMO4	gene
KLHL20	gene
RGS11	gene
SLC46A1	gene
PLXNA2	gene
SPAG5	gene
ANKRD13A	gene
TPD52	gene
ACACB	gene
TRAF4	gene
PAG1	gene
GPATCH1	gene
ICAM3	gene
NT5C2	gene
MCAM	gene
GPC4	gene
MBNL3	gene
CAMSAP3	gene
RAP1GAP	gene
XAB2	gene
ARHGEF1	gene
STXBP2	gene
MAP2K7	gene
NMRK2	gene
DGKD	gene
CTTNBP2	gene
ACTL6B	gene
RARB	gene
TOP2B	gene
TM9SF3	gene
NFKB2	gene
UBE2T	gene
PPP1R12B	gene
DNAJC10	gene
GTF3C1	gene
IL4R	gene
USP33	gene
PAK3	gene
CAPN6	gene
DCX	gene
SNRPA	gene
SPAG6	gene
EXOSC5	gene
DYNC1I2	gene
APBB1IP	gene
LRCH4	gene
FAM76B	gene
SIRT6	gene
TYR	gene
POLD3	gene
ACTN2	gene
CAPZB	gene
GPR137B	gene
NAALAD2	gene
JADE1	gene
SLC25A43	gene
UBE2A	gene
FGFR1	gene
FKBP6	gene
SMC1B	gene
FBLN1	gene
ITGA8	gene
CST7	gene
MAP2	gene
PIAS2	gene
AMPH	gene
ARAF	gene
MCCC1	gene
LAMP3	gene
FAP	gene
NEBL	gene
ACER3	gene
UBE2K	gene
PIK3C3	gene
N4BP2	gene
TIGAR	gene
TULP3	gene
SYNJ2	gene
ADCY2	gene
PPP2R5C	gene
PMS2P1	gene
RBFOX1	gene
GNB1	gene
HOXA9	gene
EDN1	gene
MLLT10	gene
ZCWPW1	gene
ADCYAP1R1	gene
FGF20	gene
P2RY10	gene
ITM2A	gene
NRDC	gene
VDAC3	gene
PCM1	gene
TNRC6C	gene
CBFA2T2	gene
BRINP1	gene
ITCH	gene
PKD2L2	gene
TP53INP2	gene
SDF4	gene
MYH7B	gene
BPIFB2	gene
TP73	gene
TOLLIP	gene
UBE2D4	gene
CLUL1	gene
RUNX1T1	gene
CDH17	gene
THOC1	gene
FKBP7	gene
OSBPL6	gene
SLC1A3	gene
XRCC5	gene
LXN	gene
SP140	gene
MKNK1	gene
TNS1	gene
REXO1	gene
SAR1A	gene
CDC14A	gene
RAPGEF3	gene
CEACAM1	gene
SENP1	gene
DUSP13	gene
CIC	gene
LIPE	gene
FDFT1	gene
PAFAH1B3	gene
OPHN1	gene
AFM	gene
KIF22	gene
SCGN	gene
CARMIL1	gene
PGM1	gene
DDX1	gene
DNM2	gene
EPB41L2	gene
RIMS1	gene
MOXD1	gene
STX7	gene
RABL2B	gene
KEAP1	gene
DDX43	gene
PTPRH	gene
DCT	gene
SLC35C2	gene
CRYBG3	gene
EPHA6	gene
SCTR	gene
RFX3	gene
RIF1	gene
RAB21	gene
SLC4A4	gene
SMARCA2	gene
RDH8	gene
SESN1	gene
MID2	gene
PIH1D3	gene
COL5A3	gene
SRCAP	gene
PUM3	gene
CPB2	gene
CHRNA3	gene
KCNN2	gene
CNOT4	gene
PSEN1	gene
CPOX	gene
CLDND1	gene
MOK	gene
HSP90AA1	gene
RBL1	gene
DLGAP4	gene
IGSF9B	gene
CFHR2	gene
CROCCP3	gene
NDC80	gene
AP4E1	gene
RSBN1	gene
MAGI3	gene
CXCL2	gene
AFP	gene
COL4A4	gene
TCF7	gene
OSTM1	gene
CDH7	gene
IMPG2	gene
PCNP	gene
EXD2	gene
ARG2	gene
MEF2C	gene
PTPRC	gene
CACNA1S	gene
PKP1	gene
UBA5	gene
STK17B	gene
CDC14B	gene
ZNF510	gene
LRP2	gene
ZNF506	gene
JMJD4	gene
DUSP12	gene
AACS	gene
KIAA0141	gene
SLC13A1	gene
CADPS2	gene
PCDHB4	gene
PCDHA6	gene
PCDHGA2	gene
HSPB11	gene
PHLPP1	gene
ATP8B1	gene
IL12RB2	gene
SMARCD3	gene
WDR70	gene
FYB	gene
MPP4	gene
STRADB	gene
BZW1	gene
PGR	gene
C1QTNF3	gene
ME2	gene
C5orf22	gene
CCNT2	gene
FAM135A	gene
COL19A1	gene
EPB41L3	gene
COBLL1	gene
DLG3	gene
KCNK2	gene
SERTAD4	gene
