gene name	test_pipeline	first_sample	second_sample	third_sample
ARF5	119.0	191.0	9.0	283.0
SARM1	0.0	0.0	0.0	0.0
POLDIP2	134.0	246.0	24.0	665.0
PLXND1	0.0	0.0	0.0	18.0
AK2	340.0	159.0	71.0	237.0
CD38	1.0	21.0	0.0	0.0
FKBP4	67.0	66.0	11.0	0.0
KDM1A	163.0	37.0	16.0	37.0
RBM6	3.0	22.0	1.0	35.0
CAMKK1	0.0	8.0	0.0	0.0
RECQL	7.0	1.0	20.0	11.0
VPS50	2.0	0.0	0.0	47.0
HSPB6	0.0	0.0	0.0	0.0
ARHGAP33	0.0	0.0	0.0	0.0
NDUFAB1	461.0	428.0	40.0	360.0
PDK4	0.0	0.0	0.0	0.0
SLC22A16	0.0	0.0	0.0	0.0
ZMYND10	0.0	0.0	0.0	0.0
ABCB5	0.0	1.0	0.0	0.0
ARX	0.0	0.0	0.0	0.0
SLC25A13	2.0	65.0	0.0	155.0
ST7	28.0	4.0	0.0	2.0
CDC27	54.0	125.0	10.0	220.0
SLC4A1	0.0	0.0	0.0	0.0
CALCR	1.0	0.0	0.0	0.0
HCCS	154.0	7.0	13.0	0.0
DVL2	1.0	23.0	1.0	0.0
PRSS22	0.0	0.0	0.0	0.0
UPF1	48.0	0.0	1.0	3.0
SKAP2	8.0	1.0	1.0	0.0
SLC25A5	1632.0	1790.0	312.0	1719.0
MCUB	0.0	1.0	0.0	0.0
HOXA11	0.0	0.0	2.0	0.0
POLR2J	164.0	187.0	40.0	279.0
DHX33	0.0	85.0	4.0	59.0
MEOX1	0.0	0.0	0.0	0.0
THSD7A	0.0	23.0	0.0	0.0
LIG3	45.0	8.0	11.0	15.0
RPAP3	23.0	23.0	0.0	8.0
ACSM3	0.0	6.0	0.0	0.0
AC004381.6	0.0	4.0	2.0	0.0
CIAPIN1	255.0	266.0	10.0	223.0
SPPL2B	0.0	4.0	6.0	0.0
FAM214B	0.0	2.0	0.0	0.0
COPZ2	0.0	0.0	0.0	0.0
PRKAR2B	0.0	0.0	0.0	0.0
MSL3	0.0	0.0	0.0	0.0
CREBBP	34.0	5.0	0.0	1.0
TSPOAP1	0.0	0.0	0.0	0.0
MPO	0.0	0.0	0.0	0.0
PON1	122.0	0.0	6.0	0.0
GCFC2	35.0	3.0	4.0	0.0
WDR54	9.0	0.0	0.0	45.0
CROT	0.0	0.0	0.0	0.0
ABCB4	0.0	0.0	0.0	0.0
KMT2E	24.0	56.0	7.0	158.0
RHBDD2	149.0	92.0	0.0	329.0
SOX8	0.0	0.0	0.0	0.0
IBTK	49.0	26.0	1.0	18.0
ZNF195	34.0	33.0	5.0	153.0
MYCBP2	0.0	4.0	5.0	0.0
FBXL3	5.0	33.0	0.0	11.0
ITGAL	0.0	0.0	11.0	0.0
PDK2	1.0	0.0	0.0	12.0
ITGA3	0.0	0.0	0.0	0.0
ZFX	4.0	4.0	2.0	5.0
LAMP2	160.0	186.0	40.0	345.0
ITGA2B	0.0	0.0	0.0	0.0
ASB4	0.0	0.0	0.0	0.0
GDE1	110.0	98.0	0.0	35.0
C19orf60	221.0	104.0	57.0	121.0
CRLF1	140.0	21.0	0.0	168.0
OSBPL7	0.0	0.0	0.0	14.0
TMEM98	144.0	172.0	16.0	145.0
YBX2	0.0	0.0	0.0	0.0
KRT33A	0.0	0.0	0.0	0.0
MAP3K14	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.0	0.0
CACNG3	0.0	0.0	0.0	0.0
TMEM132A	0.0	2.0	4.0	13.0
AP2B1	9.0	5.0	31.0	104.0
TAC1	0.0	0.0	0.0	0.0
ZNF263	18.0	2.0	0.0	0.0
CX3CL1	97.0	6.0	8.0	27.0
SPATA20	62.0	15.0	2.0	184.0
CACNA1G	0.0	0.0	0.0	0.0
TNFRSF12A	622.0	844.0	30.0	29.0
DLX6	58.0	0.0	8.0	3.0
MAP3K9	7.0	2.0	0.0	0.0
RALA	73.0	31.0	7.0	131.0
BAIAP2L1	30.0	55.0	3.0	0.0
KDM7A	0.0	0.0	0.0	0.0
ETV1	0.0	20.0	1.0	119.0
AGK	52.0	9.0	9.0	41.0
ALDH3B1	0.0	0.0	0.0	0.0
TTC22	0.0	0.0	0.0	12.0
PHTF2	0.0	14.0	2.0	0.0
CCL26	0.0	0.0	0.0	0.0
FARP2	1.0	4.0	1.0	107.0
USH1C	64.0	163.0	6.0	98.0
GGCT	151.0	166.0	30.0	225.0
DBF4	4.0	80.0	14.0	41.0
TBXA2R	55.0	0.0	0.0	2.0
IFRD1	37.0	111.0	20.0	121.0
LGALS14	0.0	0.0	0.0	1.0
COX10	36.0	36.0	0.0	81.0
GTF2IRD1	0.0	0.0	0.0	66.0
PAF1	27.0	46.0	20.0	43.0
VPS41	6.0	16.0	6.0	3.0
ARHGAP44	0.0	0.0	0.0	0.0
ELAC2	95.0	31.0	21.0	175.0
SCIN	0.0	0.0	0.0	0.0
ARSD	0.0	0.0	0.0	1.0
PNPLA4	2.0	0.0	13.0	0.0
MYH13	0.0	0.0	0.0	0.0
ADIPOR2	0.0	1.0	0.0	0.0
CDKL3	0.0	0.0	0.0	0.0
UPP2	0.0	0.0	0.0	0.0
PRSS21	0.0	0.0	0.0	0.0
MARK4	1.0	7.0	1.0	0.0
PROM1	0.0	0.0	0.0	0.0
CCDC124	37.0	19.0	11.0	131.0
CEACAM21	0.0	0.0	0.0	0.0
PAFAH1B1	18.0	11.0	0.0	0.0
NOS2	0.0	0.0	0.0	0.0
DNAH9	0.0	0.0	0.0	0.0
KIAA0100	57.0	6.0	8.0	0.0
SLC13A2	0.0	0.0	0.0	0.0
GAS7	0.0	0.0	0.0	0.0
TRAPPC6A	333.0	33.0	19.0	241.0
MATK	0.0	0.0	0.0	0.0
CEACAM7	0.0	0.0	0.0	0.0
CD79B	0.0	0.0	0.0	0.0
SCN4A	0.0	0.0	0.0	0.0
ST7L	8.0	0.0	13.0	82.0
TKTL1	0.0	0.0	0.0	0.0
PAX6	0.0	25.0	0.0	0.0
RPUSD1	0.0	0.0	0.0	33.0
RHBDF1	0.0	0.0	6.0	0.0
LUC7L	23.0	40.0	1.0	25.0
CACNA2D2	0.0	0.0	0.0	0.0
BAIAP3	0.0	0.0	0.0	0.0
TSR3	35.0	128.0	24.0	50.0
PIGQ	0.0	0.0	8.0	6.0
CRAMP1	0.0	0.0	0.0	1.0
TEAD3	6.0	6.0	0.0	17.0
SELE	0.0	0.0	0.0	0.0
DNAJC11	11.0	73.0	0.0	36.0
FMO3	0.0	0.0	0.0	0.0
MYLIP	0.0	9.0	0.0	58.0
NOX1	0.0	0.0	0.0	0.0
E2F2	0.0	15.0	2.0	0.0
PSMB1	2336.0	2104.0	308.0	4856.0
SYN1	0.0	0.0	0.0	0.0
JARID2	0.0	0.0	0.0	70.0
CDKL5	0.0	49.0	0.0	0.0
CAMK1G	0.0	0.0	0.0	0.0
CDK11A	29.0	10.0	1.0	37.0
NADK	6.0	53.0	3.0	98.0
TFAP2B	0.0	0.0	0.0	0.0
TFAP2D	0.0	0.0	0.0	0.0
DLEC1	0.0	0.0	0.0	0.0
CYTH3	0.0	0.0	0.0	0.0
ADAM22	0.0	0.0	0.0	0.0
SYPL1	79.0	77.0	6.0	137.0
CYB561	0.0	0.0	0.0	0.0
SPAG9	31.0	46.0	0.0	7.0
CELSR3	0.0	0.0	0.0	0.0
AASS	0.0	0.0	0.0	0.0
PLEKHG6	0.0	0.0	0.0	52.0
SS18L2	121.0	72.0	31.0	48.0
MPND	0.0	0.0	0.0	6.0
MGST1	788.0	764.0	104.0	531.0
CRY1	95.0	15.0	15.0	0.0
PGLYRP1	0.0	0.0	0.0	0.0
NFIX	0.0	0.0	0.0	0.0
ST3GAL1	0.0	11.0	14.0	68.0
MMP25	0.0	0.0	9.0	0.0
IL32	92.0	15.0	8.0	353.0
PKD1	0.0	0.0	0.0	0.0
MAPK8IP2	0.0	0.0	0.0	0.0
MED24	213.0	0.0	0.0	115.0
RHOBTB2	0.0	1.0	0.0	3.0
HEATR5B	0.0	3.0	2.0	19.0
SEC62	159.0	267.0	18.0	136.0
RPS20	453.0	616.0	117.0	869.0
CSDE1	189.0	137.0	25.0	235.0
UBE3C	38.0	16.0	9.0	0.0
REV3L	6.0	16.0	13.0	0.0
TENM1	21.0	0.0	0.0	0.0
PAX7	0.0	0.0	0.0	0.0
MASP2	1.0	0.0	0.0	51.0
IYD	0.0	0.0	0.0	0.0
FAM76A	0.0	1.0	0.0	0.0
TRAF3IP3	0.0	0.0	0.0	0.0
POMT2	0.0	0.0	0.0	0.0
VTA1	97.0	105.0	6.0	109.0
MLXIPL	1.0	0.0	1.0	0.0
BAZ1B	23.0	73.0	13.0	232.0
RANBP9	0.0	2.0	0.0	4.0
ETV7	0.0	0.0	0.0	0.0
SPRTN	0.0	12.0	0.0	0.0
METTL13	0.0	55.0	0.0	48.0
DYRK4	0.0	0.0	0.0	12.0
ZNF207	95.0	100.0	56.0	47.0
UQCRC1	1277.0	857.0	269.0	2038.0
STARD3NL	87.0	46.0	3.0	160.0
CD9	10.0	120.0	0.0	76.0
HHATL	0.0	0.0	0.0	0.0
NCAPD2	0.0	35.0	2.0	47.0
IFFO1	4.0	0.0	0.0	0.0
GIPR	0.0	5.0	0.0	21.0
PHF7	0.0	0.0	1.0	0.0
SEMA3G	0.0	0.0	0.0	0.0
NISCH	0.0	0.0	0.0	0.0
STAB1	0.0	0.0	0.0	0.0
FUZ	0.0	0.0	0.0	0.0
SLC6A13	0.0	0.0	0.0	0.0
IDS	0.0	8.0	0.0	1.0
PRSS3	0.0	0.0	0.0	0.0
ZNF200	0.0	0.0	0.0	0.0
CD4	0.0	0.0	0.0	0.0
LRRC23	72.0	32.0	3.0	41.0
BTK	0.0	0.0	0.0	0.0
HFE	19.0	0.0	0.0	0.0
SCMH1	0.0	20.0	13.0	99.0
FYN	0.0	28.0	0.0	0.0
HIVEP2	0.0	0.0	0.0	0.0
FMO1	0.0	1.0	0.0	0.0
TCEB3	78.0	10.0	7.0	38.0
LYPLA2	373.0	183.0	0.0	279.0
CLCN6	22.0	10.0	0.0	3.0
MRC2	0.0	0.0	0.0	0.0
NME1-NME2	2.0	4.0	4.0	3.0
SLC6A7	0.0	0.0	0.0	0.0
TSPAN9	13.0	20.0	0.0	1.0
BTBD7	8.0	13.0	1.0	2.0
APBA3	46.0	4.0	3.0	117.0
MKS1	42.0	0.0	0.0	45.0
ABHD5	42.0	15.0	9.0	111.0
ANOS1	0.0	0.0	0.0	0.0
AKAP8L	22.0	24.0	0.0	119.0
MBTD1	0.0	3.0	0.0	0.0
UTP18	134.0	66.0	38.0	92.0
RNF216	131.0	20.0	21.0	289.0
TTC19	26.0	54.0	24.0	84.0
PTBP1	85.0	86.0	18.0	102.0
DPF1	0.0	30.0	5.0	0.0
SYT7	0.0	0.0	1.0	1.0
LARS2	0.0	0.0	6.0	0.0
PIK3C2A	132.0	34.0	0.0	2.0
PLAUR	0.0	34.0	0.0	0.0
ANLN	0.0	38.0	8.0	0.0
WIZ	1.0	0.0	7.0	7.0
RABGAP1	22.0	15.0	0.0	0.0
DCN	0.0	0.0	0.0	0.0
QPCTL	0.0	0.0	2.0	0.0
PPP5C	65.0	28.0	18.0	11.0
CEP68	0.0	0.0	0.0	0.0
MAP4K3	36.0	4.0	7.0	0.0
ZBTB32	0.0	0.0	0.0	0.0
TYROBP	0.0	0.0	0.0	0.0
TMEM159	0.0	0.0	0.0	6.0
GABRA3	0.0	0.0	0.0	0.0
BRCA1	14.0	61.0	4.0	103.0
ERCC1	96.0	1.0	17.0	27.0
CD22	0.0	0.0	0.0	0.0
SEMA3B	7.0	0.0	1.0	7.0
MBTPS2	0.0	1.0	0.0	89.0
PRICKLE3	0.0	1.0	0.0	2.0
LTF	0.0	0.0	0.0	0.0
EXTL3	0.0	0.0	0.0	25.0
NR1H4	210.0	102.0	13.0	517.0
ELOVL5	40.0	23.0	0.0	16.0
ALOX5	0.0	0.0	0.0	0.0
KDM5D	0.0	0.0	0.0	0.0
CALCOCO1	1.0	0.0	0.0	51.0
UBR7	0.0	2.0	13.0	0.0
MAP4K5	19.0	27.0	0.0	0.0
EHD3	2.0	0.0	0.0	0.0
PSMC4	618.0	1068.0	87.0	1361.0
MAN2B2	44.0	0.0	0.0	5.0
SLC7A14	0.0	0.0	0.0	0.0
CLDN11	1.0	0.0	1.0	0.0
SLC25A39	438.0	281.0	61.0	717.0
MVP	49.0	20.0	0.0	0.0
NUB1	30.0	2.0	6.0	49.0
PGM3	205.0	143.0	30.0	297.0
RWDD2A	0.0	0.0	0.0	0.0
CLK1	0.0	0.0	0.0	20.0
POLR3B	6.0	9.0	0.0	0.0
ANGEL1	0.0	1.0	0.0	0.0
RNF14	28.0	3.0	0.0	124.0
DNASE1L1	0.0	5.0	0.0	0.0
DDX11	5.0	4.0	6.0	0.0
HEBP1	81.0	112.0	6.0	0.0
GPRC5A	0.0	0.0	0.0	0.0
MAMLD1	0.0	1.0	0.0	0.0
CD6	0.0	0.0	0.0	0.0
TACC3	40.0	14.0	1.0	0.0
UFL1	62.0	67.0	0.0	49.0
POLA2	0.0	34.0	0.0	0.0
ZC3H3	0.0	1.0	3.0	9.0
CAPN1	38.0	6.0	5.0	110.0
ACPP	0.0	0.0	0.0	0.0
MDH1	337.0	263.0	75.0	190.0
SLC30A9	69.0	37.0	16.0	20.0
MTMR11	0.0	0.0	0.0	0.0
COX15	60.0	30.0	16.0	10.0
CCDC88C	0.0	0.0	7.0	1.0
YAF2	0.0	0.0	2.0	0.0
ZMYND11	4.0	21.0	0.0	0.0
WAS	0.0	0.0	0.0	0.0
DPEP1	0.0	0.0	0.0	0.0
BID	383.0	330.0	71.0	195.0
MATR3	2.0	3.0	0.0	7.0
NPC1L1	13.0	0.0	3.0	17.0
XYLT2	68.0	1.0	1.0	0.0
RGPD5	0.0	0.0	0.0	0.0
STMN4	0.0	0.0	0.0	0.0
NUDCD3	0.0	92.0	0.0	1.0
ISL1	0.0	0.0	0.0	0.0
CHDH	0.0	2.0	0.0	0.0
IL20RA	0.0	0.0	0.0	0.0
CLCA1	0.0	0.0	0.0	0.0
CLCA4	0.0	0.0	0.0	0.0
GLT8D1	0.0	38.0	15.0	174.0
ATP2C1	0.0	25.0	0.0	0.0
IGF1	0.0	7.0	0.0	0.0
SLC38A5	0.0	0.0	0.0	0.0
RALBP1	75.0	122.0	8.0	103.0
RUFY3	50.0	72.0	0.0	0.0
CNTN1	0.0	0.0	0.0	0.0
SLC11A1	0.0	0.0	0.0	0.0
WWTR1	4.0	12.0	0.0	0.0
AGPS	61.0	32.0	3.0	29.0
ZNF806	0.0	0.0	0.0	0.0
CXorf56	0.0	3.0	0.0	38.0
ATP1A2	0.0	0.0	0.0	0.0
TTC27	0.0	0.0	15.0	78.0
ZNF582	0.0	12.0	0.0	81.0
VSIG2	0.0	0.0	0.0	0.0
PHLDB1	0.0	0.0	3.0	104.0
MARCO	0.0	0.0	0.0	0.0
CYP24A1	0.0	0.0	0.0	0.0
PRDM11	0.0	0.0	0.0	0.0
SYT13	0.0	0.0	0.0	0.0
SNAI2	0.0	0.0	0.0	0.0
CD74	0.0	1.0	0.0	0.0
HGF	0.0	0.0	0.0	0.0
ZRANB1	0.0	0.0	13.0	8.0
NCDN	2.0	0.0	3.0	5.0
ADGRA2	0.0	0.0	0.0	0.0
CCT8L1P	0.0	0.0	0.0	0.0
ZFP64	32.0	4.0	6.0	35.0
MNAT1	73.0	53.0	14.0	73.0
SAMD4A	32.0	31.0	0.0	0.0
RUNX3	0.0	0.0	0.0	0.0
MRE11	11.0	3.0	4.0	0.0
PLEKHB1	105.0	0.0	0.0	118.0
SERPINB1	181.0	99.0	34.0	366.0
CYP3A43	0.0	0.0	0.0	0.0
SLC7A9	0.0	0.0	0.0	0.0
SPAST	7.0	0.0	10.0	0.0
NRXN3	0.0	0.0	0.0	0.0
OSBPL5	0.0	0.0	0.0	0.0
AQR	0.0	48.0	5.0	15.0
CPS1	0.0	0.0	0.0	0.0
C8B	0.0	0.0	0.0	0.0
FHL1	0.0	0.0	0.0	0.0
RTFDC1	173.0	64.0	7.0	458.0
GABRA1	0.0	0.0	0.0	0.0
NLRP2	0.0	0.0	0.0	0.0
SLC45A4	0.0	0.0	0.0	0.0
RNF10	141.0	47.0	13.0	167.0
ZNF839	0.0	0.0	0.0	0.0
ZDHHC6	141.0	72.0	1.0	1.0
GRAMD1B	0.0	0.0	0.0	0.0
RNH1	210.0	185.0	19.0	641.0
NDUFS1	17.0	68.0	3.0	105.0
RB1CC1	0.0	58.0	0.0	66.0
ERP44	70.0	116.0	19.0	115.0
ALAS1	236.0	141.0	8.0	221.0
BIRC3	0.0	0.0	0.0	0.0
AKAP11	1.0	50.0	0.0	0.0
GLRX2	78.0	59.0	5.0	75.0
SNAPC1	0.0	1.0	0.0	1.0
DERA	252.0	299.0	27.0	116.0
STRAP	653.0	551.0	96.0	1344.0
ABCC2	26.0	68.0	0.0	7.0
DEF6	0.0	0.0	0.0	0.0
PLEKHO1	129.0	112.0	7.0	0.0
GCLM	174.0	67.0	32.0	29.0
UBR2	41.0	46.0	16.0	13.0
EHD2	0.0	0.0	0.0	0.0
DEPDC1	0.0	0.0	4.0	0.0
CCDC28A	45.0	61.0	0.0	7.0
RRAGD	0.0	7.0	0.0	5.0
HSF2	18.0	12.0	0.0	104.0
PHF20	129.0	17.0	12.0	103.0
HSD17B6	0.0	5.0	0.0	0.0
NR1H3	43.0	11.0	0.0	57.0
TYMP	4.0	15.0	1.0	6.0
NCAPH2	45.0	75.0	13.0	85.0
TOMM34	464.0	139.0	14.0	80.0
SEC63	140.0	139.0	18.0	355.0
KPNA6	71.0	82.0	6.0	114.0
VIM	409.0	411.0	9.0	0.0
RTEL1-TNFRSF6B	0.0	0.0	0.0	0.0
FAS	0.0	0.0	0.0	0.0
RNASET2	51.0	40.0	2.0	86.0
CD44	0.0	0.0	0.0	2.0
KCNG1	0.0	0.0	0.0	0.0
AGPAT4	0.0	0.0	0.0	0.0
SLAMF7	0.0	0.0	0.0	0.0
BTN3A1	0.0	0.0	0.0	0.0
MIPEP	20.0	1.0	0.0	1.0
PRKCH	0.0	0.0	0.0	0.0
INSRR	0.0	0.0	0.0	0.0
IFNGR1	175.0	74.0	0.0	211.0
B4GALT7	0.0	12.0	7.0	8.0
SH2D2A	0.0	0.0	0.0	0.0
VRK2	85.0	0.0	8.0	0.0
TNFRSF1B	0.0	0.0	0.0	0.0
VEZT	28.0	0.0	6.0	17.0
POU2F2	0.0	0.0	0.0	0.0
BRD9	63.0	10.0	1.0	9.0
SNX1	79.0	37.0	3.0	158.0
TBPL1	73.0	0.0	0.0	15.0
ARNTL2	0.0	0.0	8.0	58.0
BCLAF1	68.0	118.0	2.0	372.0
SLC39A9	0.0	9.0	0.0	0.0
ANK1	0.0	0.0	0.0	0.0
IBSP	0.0	0.0	0.0	0.0
TFB1M	30.0	2.0	1.0	42.0
RABEP1	61.0	105.0	2.0	119.0
HMGB3	13.0	49.0	14.0	72.0
NUP160	18.0	18.0	18.0	3.0
BAK1	17.0	0.0	9.0	0.0
MUSK	0.0	0.0	0.0	0.0
IKZF2	0.0	0.0	0.0	0.0
GRN	145.0	250.0	52.0	472.0
FAM13B	0.0	0.0	2.0	0.0
ARHGAP31	0.0	0.0	0.0	0.0
CENPQ	0.0	5.0	1.0	0.0
SARS	119.0	204.0	16.0	49.0
RANBP3	56.0	26.0	0.0	27.0
ARID4A	60.0	25.0	10.0	7.0
TSSC1	19.0	21.0	16.0	0.0
PNPLA6	0.0	1.0	0.0	0.0
IFT88	0.0	0.0	0.0	15.0
ALG1	14.0	42.0	18.0	164.0
ZCCHC8	14.0	9.0	5.0	30.0
ABCF2	250.0	44.0	0.0	147.0
CHPF2	2.0	0.0	0.0	0.0
LRRC7	0.0	0.0	0.0	0.0
FUT8	0.0	3.0	0.0	0.0
UBA6	31.0	15.0	2.0	4.0
GAB2	0.0	17.0	0.0	0.0
ATP6V0A1	0.0	16.0	0.0	4.0
PIAS1	257.0	209.0	26.0	60.0
SLC4A7	26.0	19.0	25.0	18.0
APBA2	17.0	0.0	0.0	3.0
MAP2K3	17.0	92.0	0.0	45.0
EFCAB1	0.0	0.0	0.0	0.0
TMSB10	985.0	876.0	156.0	568.0
ASTE1	119.0	0.0	0.0	0.0
RNF19A	0.0	0.0	1.0	3.0
PEX3	104.0	39.0	1.0	182.0
GABARAPL2	154.0	225.0	26.0	411.0
MYOC	0.0	0.0	0.0	0.0
SH3YL1	0.0	0.0	0.0	0.0
FAM136A	174.0	121.0	47.0	377.0
VCL	2.0	71.0	0.0	0.0
DEPDC1B	0.0	7.0	11.0	30.0
DAPK2	0.0	0.0	0.0	0.0
NSMAF	0.0	1.0	2.0	26.0
ADSS	9.0	92.0	6.0	54.0
STAP1	0.0	0.0	0.0	0.0
TIMP2	0.0	15.0	0.0	0.0
RFC1	17.0	65.0	11.0	76.0
TBC1D23	0.0	1.0	2.0	0.0
CUL3	0.0	12.0	0.0	64.0
MYOM2	0.0	0.0	0.0	0.0
OTC	0.0	0.0	0.0	0.0
CYP46A1	0.0	0.0	0.0	0.0
ZZZ3	0.0	0.0	0.0	51.0
SLC18A1	0.0	0.0	0.0	0.0
USP2	0.0	0.0	2.0	0.0
CASR	0.0	0.0	0.0	0.0
TUBG2	0.0	3.0	3.0	48.0
RPL26L1	153.0	190.0	5.0	65.0
FLT4	0.0	0.0	0.0	0.0
NSUN2	78.0	25.0	11.0	133.0
FBXO42	15.0	0.0	0.0	0.0
MFAP3	0.0	0.0	1.0	22.0
MRI1	42.0	0.0	4.0	0.0
METTL1	185.0	123.0	2.0	90.0
HOXC8	0.0	0.0	0.0	0.0
AGA	40.0	131.0	2.0	31.0
PI4K2B	17.0	12.0	0.0	0.0
BOD1L1	12.0	38.0	6.0	51.0
MAT2B	32.0	10.0	14.0	13.0
TLL1	0.0	0.0	0.0	0.0
EDC4	34.0	5.0	2.0	0.0
TRIO	0.0	9.0	0.0	52.0
VCAN	0.0	9.0	0.0	0.0
CLEC16A	0.0	0.0	0.0	123.0
MSR1	0.0	1.0	0.0	0.0
CDH1	0.0	19.0	0.0	24.0
SKIV2L2	10.0	1.0	5.0	11.0
DNAH5	0.0	0.0	0.0	21.0
ZFYVE16	0.0	39.0	1.0	15.0
FAM65A	40.0	46.0	0.0	45.0
C6	0.0	0.0	0.0	0.0
RAI14	41.0	130.0	22.0	53.0
SOX30	0.0	0.0	0.0	0.0
PNKP	44.0	32.0	4.0	11.0
BEST2	0.0	0.0	0.0	0.0
PHLPP2	5.0	0.0	0.0	0.0
SPDL1	63.0	31.0	11.0	78.0
STAU2	0.0	4.0	6.0	0.0
PQLC2	179.0	98.0	0.0	53.0
CTNS	0.0	24.0	1.0	0.0
RTN4R	0.0	46.0	0.0	31.0
PHF23	0.0	9.0	0.0	0.0
CDH10	0.0	0.0	0.0	0.0
INPP4A	0.0	0.0	9.0	13.0
RAB27B	0.0	0.0	0.0	0.0
PSMA4	1015.0	1055.0	78.0	996.0
MYO16	0.0	0.0	0.0	0.0
LSG1	20.0	52.0	5.0	293.0
PARP3	0.0	0.0	0.0	0.0
TNC	0.0	0.0	0.0	0.0
THAP3	41.0	10.0	4.0	4.0
FAM65C	0.0	0.0	0.0	0.0
TDP1	23.0	111.0	0.0	52.0
AIFM2	0.0	96.0	5.0	4.0
C2orf83	0.0	0.0	0.0	0.0
SPATA7	0.0	18.0	0.0	0.0
MED17	76.0	1.0	0.0	48.0
RETSAT	0.0	21.0	0.0	57.0
CAPG	114.0	0.0	0.0	219.0
AP2S1	281.0	488.0	31.0	211.0
USH2A	0.0	0.0	0.0	0.0
ZPBP	0.0	0.0	0.0	0.0
TG	0.0	0.0	0.0	1.0
ADAM28	0.0	0.0	0.0	0.0
BARX2	0.0	0.0	0.0	0.0
DCUN1D1	3.0	50.0	4.0	19.0
JADE2	0.0	0.0	3.0	9.0
ZIC2	0.0	0.0	0.0	0.0
LCP2	0.0	0.0	0.0	0.0
TRIT1	60.0	32.0	8.0	0.0
ADRB1	0.0	0.0	0.0	0.0
GUCA2B	0.0	0.0	0.0	0.0
CUL7	0.0	0.0	0.0	3.0
CTNNA1	73.0	38.0	16.0	138.0
PHKA2	86.0	2.0	5.0	0.0
CNTLN	40.0	28.0	0.0	35.0
EPHA3	0.0	0.0	0.0	0.0
HSPA5	1093.0	621.0	197.0	2234.0
DSG2	0.0	13.0	0.0	1.0
GEMIN8	0.0	17.0	0.0	2.0
OFD1	0.0	1.0	2.0	0.0
GPM6B	0.0	0.0	0.0	0.0
MAGEC2	0.0	0.0	0.0	0.0
PREX2	0.0	0.0	0.0	0.0
WDR37	9.0	1.0	3.0	0.0
YTHDC2	62.0	1.0	0.0	0.0
CTPS2	79.0	3.0	0.0	77.0
ATP6V1H	5.0	70.0	0.0	50.0
POLR2B	48.0	13.0	4.0	22.0
FAM214A	0.0	0.0	0.0	23.0
ARAP2	0.0	0.0	0.0	0.0
TPR	441.0	259.0	25.0	338.0
CP	13.0	30.0	1.0	24.0
KIAA0556	0.0	0.0	0.0	0.0
DTNBP1	7.0	35.0	6.0	44.0
XK	0.0	0.0	0.0	0.0
ANO2	0.0	0.0	0.0	0.0
C12orf4	0.0	27.0	0.0	7.0
SCML1	0.0	0.0	0.0	173.0
WWC3	0.0	0.0	0.0	0.0
ARHGAP6	0.0	0.0	0.0	0.0
FAM184B	0.0	0.0	0.0	0.0
MAP4	219.0	65.0	18.0	58.0
GOPC	77.0	28.0	11.0	112.0
ROS1	0.0	0.0	0.0	9.0
USP28	0.0	0.0	1.0	0.0
HDAC9	0.0	0.0	0.0	0.0
TSPAN17	0.0	1.0	0.0	59.0
